,ta,U,V,ws,hm,vs,pm
2016-01-07 16:00:00,0.2,0.9077774785329084,-0.4194520824461773,4.1,36.8,35560.0,28.0
2016-01-07 17:00:00,-0.6,0.8069603121438023,-0.5906056676199251,2.3,41.9,34910.0,24.0
2016-01-07 18:00:00,-1.7,0.3338068592337709,-0.9426414910921784,1.8,44.8,31580.0,22.0
2016-01-07 19:00:00,-2.2,0.700909264299851,-0.7132504491541816,1.2,50.0,31250.0,19.0
2016-01-07 20:00:00,-4.5,-0.5591929034707465,-0.829037572555042,1.1,68.6,24990.0,23.0
2016-01-07 21:00:00,-2.0,0.3090169943749475,-0.9510565162951536,2.8,51.3,30010.0,34.0
2016-01-07 22:00:00,-2.9,-0.0139621803391454,-0.9999025240093043,1.9,54.7,23090.0,41.0
2016-01-07 23:00:00,-4.2,-0.8110638189893268,-0.5849576749872154,1.0,58.6,22020.0,40.0
2016-01-08 00:00:00,-4.5,0.1564344650402309,-0.9876883405951375,0.4,61.1,26300.0,46.0
2016-01-08 01:00:00,-6.1,-1.8369701987210294e-16,-1.0,0.0,69.8,19770.0,36.0
2016-01-08 02:00:00,-6.3,-0.9812926639922452,0.1925219665259075,0.7,82.0,14060.0,35.0
2016-01-08 03:00:00,-7.3,-1.8369701987210294e-16,-1.0,0.0,85.3,14390.0,33.0
2016-01-08 04:00:00,-7.7,-0.9971851335251156,-0.0749787268263278,0.6,86.2,12890.0,29.0
2016-01-08 05:00:00,-7.8,-0.9992629164106211,-0.0383878090875196,0.5,86.0,12700.0,39.0
2016-01-08 06:00:00,-8.2,-1.8369701987210294e-16,-1.0,0.1,85.9,13120.0,39.0
2016-01-08 07:00:00,-7.8,-0.9602936856769432,-0.2789911060392289,1.1,86.5,10910.0,60.0
2016-01-08 08:00:00,-8.4,-0.8461931661275642,-0.5328762760707295,0.5,85.3,14440.0,81.0
2016-01-08 09:00:00,-5.2,-0.998536670326212,0.0540788129847751,0.3,80.3,15710.0,71.0
2016-01-08 10:00:00,-1.9,0.6896195437356701,-0.7241718614374673,0.4,57.7,20160.0,56.0
2016-01-08 11:00:00,-0.3,0.3518416484047021,-0.9360595357389732,2.9,33.8,35520.0,54.0
2016-01-08 12:00:00,1.0,0.2486898871648543,-0.9685831611286314,2.5,24.4,31570.0,44.0
2016-01-08 13:00:00,2.2,-0.0157073173118207,-0.9998766324816608,1.7,23.4,32880.0,38.0
2016-01-08 14:00:00,2.9,-0.4555449072335155,-0.8902128046111263,2.0,23.8,28860.0,39.0
2016-01-08 15:00:00,2.0,0.2940403252323043,-0.95579301479833,4.7,27.5,32290.0,37.0
2016-01-08 16:00:00,1.9,0.8845809752150837,-0.4663866403398913,2.5,30.8,28140.0,23.0
2016-01-08 17:00:00,0.9,0.6845471059286886,-0.7289686274214118,3.1,36.8,27810.0,38.0
2016-01-08 18:00:00,-0.9,0.3907311284892737,-0.9205048534524404,2.3,46.9,26650.0,36.0
2016-01-08 19:00:00,-2.4,-1.8369701987210294e-16,-1.0,0.0,56.3,24290.0,26.0
2016-01-08 20:00:00,-3.2,-1.8369701987210294e-16,-1.0,0.0,74.4,18790.0,40.0
2016-01-08 21:00:00,-2.5,-0.9698720152847472,-0.2436150117860222,1.2,72.1,13360.0,53.0
2016-01-08 22:00:00,-2.6,-0.9515944038794384,-0.3073566177998071,0.8,72.4,11810.0,60.0
2016-01-08 23:00:00,-4.3,0.5120428648705716,-0.8589598969306643,0.9,77.9,11210.0,41.0
2016-01-09 00:00:00,-3.8,0.953716950748227,-0.3007057995042731,0.2,75.9,11360.0,43.0
2016-01-09 01:00:00,-3.3,-0.3420201433256687,0.9396926207859084,0.5,82.6,12840.0,34.0
2016-01-09 02:00:00,-3.0,-0.949425477641904,-0.313992455967405,0.4,75.3,13570.0,39.0
2016-01-09 03:00:00,-4.3,0.4146932426562391,-0.909961270876543,0.6,73.8,13930.0,42.0
2016-01-09 04:00:00,-4.8,-0.9890158633619168,-0.1478094111296106,0.6,80.3,16280.0,42.0
2016-01-09 05:00:00,-4.7,-0.6306758074312865,-0.7760464070665459,0.6,81.1,14890.0,42.0
2016-01-09 06:00:00,-5.1,-0.6896195437356695,0.7241718614374678,0.5,82.1,14660.0,40.0
2016-01-09 07:00:00,-6.1,-0.8367643134589616,0.5475632234925502,0.5,85.8,10540.0,43.0
2016-01-09 08:00:00,-6.4,-0.9284858268809134,0.3713678355502352,0.8,85.0,9900.0,62.0
2016-01-09 09:00:00,-3.6,-0.8771461637055886,0.4802234974431889,0.5,75.2,11040.0,53.0
2016-01-09 10:00:00,-0.9,-0.7716245833877201,0.6360782202777637,0.8,50.2,21710.0,39.0
2016-01-09 11:00:00,0.2,0.6639262126522419,-0.7477980904985317,1.5,46.5,23510.0,45.0
2016-01-09 12:00:00,1.5,0.8616291604415257,-0.5075383629607041,4.9,41.9,34900.0,41.0
2016-01-09 13:00:00,1.6,0.6691306063588582,-0.7431448254773944,2.7,47.5,27950.0,33.0
2016-01-09 14:00:00,2.1,0.9988061373414342,0.0488497697956134,3.1,47.7,28860.0,32.0
2016-01-09 15:00:00,1.6,0.9755345439458568,-0.2198462043528373,3.1,50.5,32510.0,34.0
2016-01-09 16:00:00,1.8,0.9650164944723116,-0.2621891786408645,3.1,50.1,31020.0,26.0
2016-01-09 17:00:00,1.1,0.75011106963046,-0.6613118653236515,2.5,52.2,31090.0,31.0
2016-01-09 18:00:00,0.8,0.3123349185122324,-0.9499720515246528,0.8,57.4,29220.0,24.0
2016-01-09 19:00:00,-0.7,-0.2571327931546962,-0.9663760793213296,0.5,64.6,23280.0,37.0
2016-01-09 20:00:00,-1.7,0.0488497697956133,0.9988061373414342,0.7,69.4,18490.0,28.0
2016-01-09 21:00:00,-1.1,-0.8562670846003282,0.5165333288666418,0.7,77.0,15950.0,54.0
2016-01-09 22:00:00,-1.3,-1.8369701987210294e-16,-1.0,0.0,78.4,13720.0,46.0
2016-01-09 23:00:00,-0.2,0.7144726796328035,0.6996633405133655,0.9,73.9,19120.0,56.0
2016-01-10 00:00:00,1.1,0.7524149088957247,0.6586894601186802,1.3,62.2,16300.0,73.0
2016-01-10 01:00:00,0.5,0.5239859059700791,0.8517269341430477,1.2,65.4,15900.0,55.0
2016-01-10 02:00:00,0.8,0.5707135676844318,0.8211492091337039,2.3,67.5,17640.0,40.0
2016-01-10 03:00:00,1.1,0.6934018282758131,0.7205511116803304,2.0,65.2,11430.0,57.0
2016-01-10 04:00:00,1.1,0.9988061373414342,-0.0488497697956134,0.7,66.6,14640.0,50.0
2016-01-10 05:00:00,0.8,-0.9762960071199336,0.2164396139381027,1.4,70.4,15830.0,40.0
2016-01-10 06:00:00,-0.3,-1.8369701987210294e-16,-1.0,0.0,75.8,12770.0,42.0
2016-01-10 07:00:00,-0.2,0.9677091704819712,-0.252069358243114,0.6,78.1,12280.0,46.0
2016-01-10 08:00:00,-0.4,-0.6306758074312865,-0.7760464070665459,1.2,80.3,11200.0,60.0
2016-01-10 09:00:00,0.8,0.3681245526846783,-0.9297764858882512,1.1,54.9,16030.0,51.0
2016-01-10 10:00:00,1.8,0.2840153447039227,-0.9588197348681932,2.6,38.4,16610.0,47.0
2016-01-10 11:00:00,2.9,-0.2503800040544418,-0.968147640378108,3.5,26.3,29270.0,25.0
2016-01-10 12:00:00,4.0,-0.1581580672544836,-0.9874138067509114,1.9,25.5,28390.0,22.0
2016-01-10 13:00:00,4.7,-0.3023698907504443,-0.9531906677929473,1.4,20.3,41310.0,25.0
2016-01-10 14:00:00,5.3,0.6547408137173394,-0.75585346916764,3.5,18.4,39330.0,19.0
2016-01-10 15:00:00,4.9,0.4848096202463371,-0.8746197071393956,2.4,19.8,37890.0,22.0
2016-01-10 16:00:00,4.9,0.6626200482157375,-0.7489557207890022,2.9,18.9,50000.0,18.0
2016-01-10 17:00:00,3.4,0.0418756537291993,-0.9991228300988584,1.4,24.3,33060.0,21.0
2016-01-10 18:00:00,0.8,-0.393941909590951,-0.9191353392552344,1.3,29.7,30880.0,28.0
2016-01-10 19:00:00,-2.3,0.2147353271670629,-0.976672278334168,0.9,46.4,24050.0,32.0
2016-01-10 20:00:00,-2.7,-0.2266513074368552,-0.9739759672790516,1.5,51.4,19200.0,30.0
