date,ta,U,V,wd,ws,hm,vs
2016-01-08 16:00:00,1.9,0.8845809752150837,-0.4663866403398913,297.8,2.5,30.8,28140.0
2016-01-08 17:00:00,0.9,0.6845471059286886,-0.7289686274214118,316.8,3.1,36.8,27810.0
2016-01-08 18:00:00,-0.9,0.3907311284892737,-0.9205048534524403,337.0,2.3,46.9,26650.0
2016-01-08 19:00:00,-2.4,-1.8369701987210297e-16,-1.0,0.0,0.0,56.3,24290.0
2016-01-08 20:00:00,-3.2,-1.8369701987210297e-16,-1.0,0.0,0.0,74.4,18790.0
2016-01-08 21:00:00,-2.5,-0.9698720152847471,-0.24361501178602224,75.9,1.2,72.1,13360.0
2016-01-08 22:00:00,-2.6,-0.9515944038794383,-0.3073566177998071,72.1,0.8,72.4,11810.0
2016-01-08 23:00:00,-4.3,0.5120428648705716,-0.8589598969306643,329.2,0.9,77.9,11210.0
2016-01-09 00:00:00,-3.8,0.953716950748227,-0.3007057995042731,287.5,0.2,75.9,11360.0
2016-01-09 01:00:00,-3.3,-0.34202014332566877,0.9396926207859084,160.0,0.5,82.6,12840.0
2016-01-09 02:00:00,-3.0,-0.9494254776419039,-0.313992455967405,71.7,0.4,75.3,13570.0
2016-01-09 03:00:00,-4.3,0.41469324265623914,-0.909961270876543,335.5,0.6,73.8,13930.0
2016-01-09 04:00:00,-4.8,-0.9890158633619167,-0.1478094111296106,81.5,0.6,80.3,16280.0
2016-01-09 05:00:00,-4.7,-0.6306758074312865,-0.7760464070665459,39.1,0.6,81.1,14890.0
2016-01-09 06:00:00,-5.1,-0.6896195437356695,0.7241718614374678,136.4,0.5,82.1,14660.0
2016-01-09 07:00:00,-6.1,-0.8367643134589616,0.5475632234925502,123.2,0.5,85.8,10540.0
2016-01-09 08:00:00,-6.4,-0.9284858268809134,0.3713678355502352,111.8,0.8,85.0,9900.0
2016-01-09 09:00:00,-3.6,-0.8771461637055886,0.4802234974431889,118.7,0.5,75.2,11040.0
2016-01-09 10:00:00,-0.9,-0.7716245833877201,0.6360782202777637,129.5,0.8,50.2,21710.0
2016-01-09 11:00:00,0.2,0.6639262126522419,-0.7477980904985317,318.4,1.5,46.5,23510.0
2016-01-09 12:00:00,1.5,0.8616291604415257,-0.5075383629607041,300.5,4.9,41.9,34900.0
2016-01-09 13:00:00,1.6,0.6691306063588582,-0.7431448254773944,318.0,2.7,47.5,27950.0
2016-01-09 14:00:00,2.1,0.9988061373414342,0.048849769795613465,267.2,3.1,47.7,28860.0
2016-01-09 15:00:00,1.6,0.9755345439458567,-0.21984620435283736,282.7,3.1,50.5,32510.0
2016-01-09 16:00:00,1.8,0.9650164944723115,-0.26218917864086455,285.2,3.1,50.1,31020.0
2016-01-09 17:00:00,1.1,0.75011106963046,-0.6613118653236515,311.4,2.5,52.2,31090.0
2016-01-09 18:00:00,0.8,0.31233491851223244,-0.9499720515246527,341.8,0.8,57.4,29220.0
2016-01-09 19:00:00,-0.7,-0.2571327931546962,-0.9663760793213295,14.9,0.5,64.6,23280.0
2016-01-09 20:00:00,-1.7,0.048849769795613396,0.9988061373414342,182.8,0.7,69.4,18490.0
2016-01-09 21:00:00,-1.1,-0.8562670846003282,0.5165333288666418,121.1,0.7,77.0,15950.0
2016-01-09 22:00:00,-1.3,-1.8369701987210297e-16,-1.0,0.0,0.0,78.4,13720.0
2016-01-09 23:00:00,-0.2,0.7144726796328035,0.6996633405133655,225.6,0.9,73.9,19120.0
2016-01-10 00:00:00,1.1,0.7524149088957247,0.6586894601186802,228.8,1.3,62.2,16300.0
2016-01-10 01:00:00,0.5,0.5239859059700791,0.8517269341430477,211.6,1.2,65.4,15900.0
2016-01-10 02:00:00,0.8,0.5707135676844318,0.8211492091337039,214.8,2.3,67.5,17640.0
2016-01-10 03:00:00,1.1,0.6934018282758131,0.7205511116803304,223.9,2.0,65.2,11430.0
2016-01-10 04:00:00,1.1,0.9988061373414342,-0.048849769795613465,272.8,0.7,66.6,14640.0
2016-01-10 05:00:00,0.8,-0.9762960071199335,0.21643961393810277,102.5,1.4,70.4,15830.0
2016-01-10 06:00:00,-0.3,-1.8369701987210297e-16,-1.0,0.0,0.0,75.8,12770.0
2016-01-10 07:00:00,-0.2,0.9677091704819712,-0.25206935824311405,284.6,0.6,78.1,12280.0
2016-01-10 08:00:00,-0.4,-0.6306758074312865,-0.7760464070665459,39.1,1.2,80.3,11200.0
2016-01-10 09:00:00,0.8,0.3681245526846783,-0.9297764858882512,338.4,1.1,54.9,16030.0
2016-01-10 10:00:00,1.8,0.28401534470392276,-0.9588197348681932,343.5,2.6,38.4,16610.0
2016-01-10 11:00:00,2.9,-0.25038000405444183,-0.9681476403781079,14.5,3.5,26.3,29270.0
2016-01-10 12:00:00,4.0,-0.15815806725448364,-0.9874138067509114,9.1,1.9,25.5,28390.0
2016-01-10 13:00:00,4.7,-0.3023698907504443,-0.9531906677929473,17.6,1.4,20.3,41310.0
2016-01-10 14:00:00,5.3,0.6547408137173394,-0.75585346916764,319.1,3.5,18.4,39330.0
2016-01-10 15:00:00,4.9,0.4848096202463371,-0.8746197071393956,331.0,2.4,19.8,37890.0
2016-01-10 16:00:00,4.9,0.6626200482157375,-0.7489557207890022,318.5,2.9,18.9,50000.0
2016-01-10 17:00:00,3.4,0.041875653729199304,-0.9991228300988585,357.6,1.4,24.3,33060.0
2016-01-10 18:00:00,0.8,-0.393941909590951,-0.9191353392552344,23.2,1.3,29.7,30880.0
2016-01-10 19:00:00,-2.3,0.21473532716706292,-0.9766722783341681,347.6,0.9,46.4,24050.0
2016-01-10 20:00:00,-2.7,-0.22665130743685524,-0.9739759672790517,13.1,1.5,51.4,19200.0
2016-01-10 21:00:00,-2.5,-1.8369701987210297e-16,-1.0,0.0,0.1,48.8,21470.0
2016-01-10 22:00:00,-4.5,-0.8424523970071476,-0.5387707850068629,57.4,1.1,70.7,18970.0
2016-01-10 23:00:00,-3.6,0.6045991148623747,0.7965299180241965,217.2,1.0,51.3,23500.0
2016-01-11 00:00:00,-4.2,0.6573752457940957,0.753563392301638,221.1,0.4,57.5,24310.0
2016-01-11 01:00:00,-5.5,0.03315517838852584,-0.9994502159417574,358.1,0.7,71.6,16430.0
2016-01-11 02:00:00,-4.1,0.00698126029796118,-0.9999756307053949,359.6,1.2,49.6,29270.0
2016-01-11 03:00:00,-4.7,-0.4019477766559603,-0.9156625933395608,23.7,0.9,53.0,30710.0
2016-01-11 04:00:00,-5.0,0.40194777665596004,-0.915662593339561,336.3,1.0,51.9,30860.0
2016-01-11 05:00:00,-6.8,-1.8369701987210297e-16,-1.0,0.0,0.0,71.1,21710.0
2016-01-11 06:00:00,-7.7,-1.8369701987210297e-16,-1.0,0.0,0.0,84.2,15200.0
2016-01-11 07:00:00,-7.6,-0.9739759672790517,0.2266513074368552,103.1,0.7,84.1,16470.0
